Reactions|Direction|Left|Right
8786|=|2:26,60|3:42,13910,3017
8787|>|1:533|1:385
8788|=|2:4993,122|2:9034,123
8789|=|1:418|2:7507,13
8790|=|1:418|2:16415,13
8791|=|1:16416|1:16318
8792|=|1:471|1:7675
8793|=|1:16418|1:16417
8794|>|1:2681|2:12860,13
8795|=|1:4376|2:16429,11
8796|=|1:4376|2:16429,274
8797|>|1:505|1:251
8798|=|1:16431|1:16432
8799|=|2:11441,1539|3:16433,48,59
8800|>|2:14,493|2:3966,1
8801|>|1:4601|1:16451
8802|>|1:16451|1:2587
8803|>|1:4343|1:13593
8804|>|1:365|1:1467
8805|>|1:1467|1:16319
8806|>|1:413|1:49
8807|=|1:16453|1:16454
8808|=|1:16455|1:16456
8809|>|1:493|1:794
8810|>|1:493|1:794
8811|=|1:4751|1:16458
8812|>|1:1341|1:16459
8813|=|2:1534,7|1:16460
8814|=|1:16460|1:16461
8815|>|2:1534,7|1:16461
8816|=|1:6469|1:16464
8817|=|1:16464|1:16465
8818|=|1:6469|1:16465
8819|=|1:2534|1:2386
8820|>|1:16466|1:3648
8821|>|1:16468|1:16467
8822|=|1:16469|1:16470
8823|=|1:12417|1:12416
8824|=|1:12416|1:15376
8825|=|2:16469,26|2:16482,25
8826|>|1:16346|1:16483
8827|=|1:1713|2:16484,158
8828|>|1:4405|1:9343
8829|=|1:16359|2:16485,13
8830|=|1:16359|2:16486,13
8831|=|1:80|2:1042,14
8832|=|1:16487|2:3111,16488
8833|=|1:16489|2:16490,13
8834|=|1:16491|2:16492,13
8835|>|1:16493|2:16494,15
8836|>|2:16495,1|1:16496
8837|>|1:16497|1:16468
8838|>|1:16584|1:16497
8839|>|1:535|1:16584
8840|>|1:16467|2:10891,24
8841|>|1:535|2:5287,10
8842|>|1:16494|1:16599
8843|>|1:16483|1:16493
8844|>|2:16599,61|1:16600
8845|>|2:418,16636|2:16637,13
8846|>|1:16637|1:3433
8847|>|1:3620|1:3433
8848|>|1:3620|1:16215
8849|>|1:2703|1:999
8850|>|1:999|1:16638
8851|>|1:16638|1:418
8852|>|1:9939|1:16651
8853|>|1:16651|1:16652
8854|>|1:16652|1:16653
8855|>|1:16653|1:16654
8856|>|1:16654|1:16655
8857|>|1:16655|1:9816
8858|>|1:16655|1:16656
8859|>|1:16656|1:16657
8860|>|1:547|1:16660
8861|>|1:16661|1:11654
8862|>|2:16662,7|1:16663
8863|=|2:14757,7|1:16664
8864|=|1:16664|1:16665
8865|=|1:16665|1:16666
8866|>|2:14757,7|1:16666
8867|>|2:14758,7|1:16667
8868|>|1:9676|1:16668
8869|=|1:16669|1:16670
8870|=|1:2780|1:16671
8871|=|1:16671|1:8126
8872|>|1:2780|1:8126
8873|=|2:24,16469|2:16673,10
8874|>|1:333|2:16675,13
8875|=|1:1784|2:4383,25
8876|=|1:16672|1:344
8877|=|1:16693|1:16490
8878|=|1:16707|1:2
8879|=|1:3114|2:2,8
8880|=|1:16707|1:16715
8881|=|1:3114|1:2715
8882|>|1:3687|1:16716
8883|>|1:269|1:16661
8884|>|1:11654|1:16466
8885|>|1:418|2:16676,13
8886|=|1:418|2:16678,13
8887|=|1:418|2:16679,13
8888|>|1:418|2:16495,13
8889|>|1:418|2:16680,13
8890|=|1:418|2:16689,13
8891|=|1:418|2:16690,13
8892|=|1:418|2:16691,13
8893|=|1:418|2:16696,13
8894|=|1:418|2:16697,13
8895|>|1:418|2:16698,13
8896|=|1:418|2:16699,13
8897|=|1:418|2:16701,13
8898|>|1:9680|2:16702,13
8899|=|1:418|2:16692,13
8900|=|1:418|2:16694,13
8901|=|1:418|2:16695,13
8902|>|1:4490|2:16662,13
8903|=|1:9685|1:16482
8904|>|1:11576|1:16703
8905|=|1:938|1:14503
8906|=|1:938|1:16440
8907|=|1:938|1:16704
8908|=|1:938|1:16705
8909|=|1:938|1:6479
8910|=|1:938|1:16706
8911|>|1:938|1:16708
8912|>|1:938|1:16709
8913|>|1:938|1:16710
8914|=|1:938|1:16711
8915|>|1:938|1:16712
8916|>|1:938|1:16717
8917|=|1:16456|1:16718
8918|>|1:16660|1:269
8919|>|1:183|1:547
8920|>|2:14756,7|1:16725
8921|>|1:9199|1:3383
8922|>|1:9198|1:3383
8923|>|1:3383|1:16738
8924|=|2:3064,4|2:16738,3
8925|=|1:14176|1:16739
8926|=|1:16739|1:14177
8927|=|1:14176|1:16740
8928|=|1:16740|1:14177
8929|=|1:8289|1:16741
8930|>|1:16742|1:8305
8931|=|1:16744|1:16743
8932|=|1:16745|1:16743
8933|=|2:7528,7|1:16746
8934|=|2:16747,7|1:1818
8935|>|1:104|1:16748
8936|=|2:174,1539|2:16749,59
8937|=|2:8607,122|2:16750,123
8938|=|1:2918|1:16751
8939|=|1:321|1:16752
8940|=|2:1286,9|2:31,599
8941|=|2:1405,9|2:137,3428
8942|=|2:16753,9|2:31,579
8943|>|1:584|1:392
8944|>|1:204|1:16754
8945|=|1:43|1:16762
8946|>|1:16748|2:16766,1317
8947|=|1:16748|1:16766
8948|=|1:16749|2:16767,1317
8949|=|1:16749|1:16767
8950|=|1:16413|1:16768
8951|=|1:16768|1:624
8952|=|1:4541|1:624
8953|=|1:4541|1:624
8954|>|1:16769|1:269
8955|>|1:5745|1:610
8956|>|1:1083|1:16769
8957|=|1:14563|1:133
8958|>|1:3723|2:16756,496
8959|=|1:5046|1:16757
8960|=|1:321|2:16758,13
8961|=|1:321|2:7713,13
8962|=|1:321|2:9192,13
8963|=|1:321|2:7685,13
8964|=|1:321|2:16759,13
8965|=|1:321|2:16747,13
8966|>|1:333|1:16784
8967|=|1:321|2:7742,13
8968|=|1:321|2:7740,13
8969|=|1:321|2:7738,13
8970|=|1:321|2:4635,13
8971|=|1:321|2:4636,13
8972|=|1:16752|2:16760,13
8973|=|1:321|2:4637,13
8974|=|1:321|2:16761,13
8975|=|1:418|2:13470,13
8976|=|1:16763|1:16764
8977|>|1:16765|1:12715
8978|>|1:14563|1:16755
8979|>|1:16771|2:16770,1317
8980|>|1:16748|1:16771
8981|>|1:16766|1:16770
8982|>|1:16770|2:218,14
8983|=|2:1915,3|2:9197,4
8984|=|1:1915|1:9197
8985|=|2:16775,3|2:16774,4
8986|=|1:16775|1:16774
8987|=|2:16746,3|2:16776,4
8988|=|1:16777|1:747
8989|=|1:16778|1:2859
8990|>|1:4295|1:16779
8991|>|1:16779|1:742
8992|=|2:16781,1|1:1127
8993|>|1:16754|2:647,9
8994|>|1:346|1:962
8995|=|1:493|2:630,7
8996|>|2:385,2775|1:3022
8997|>|2:214,2775|2:3022,14
8998|>|2:502,2775|2:3022,214
8999|=|2:2775,4431|2:3022,4432
9000|=|2:385,4432|2:271,4431
9001|>|1:16756|1:16765
9002|=|2:16785,10|2:13,5346
9003|=|1:418|2:16786,13
9004|=|1:418|2:16787,13
9005|=|1:418|2:16788,13
9006|=|1:418|2:7492,13
9007|=|1:418|2:16789,13
9008|=|1:3230|2:16790,13
9009|>|1:47|1:16791
9010|>|2:47,16791|1:16792
9011|>|1:16792|1:16793
9012|>|1:16793|1:12854
9013|=|2:214,4432|1:4431
9014|=|2:502,4432|2:214,4431
9015|=|2:521,4432|2:502,4431
9016|=|2:16806,4432|2:521,4431
9017|=|2:2692,3|2:2407,4
9018|=|1:2341|1:16785
