Reactions|Direction|Left|Right
2238|=|1:2078|1:560
2239|=|1:560|1:3177
2240|=|1:3177|2:560,129
2241|=|2:561,2|1:3262
2242|=|2:561,2|1:3263
2243|=|1:561|1:3135
2244|=|2:72,561|2:22,3262
2245|>|1:155|1:267
2246|>|2:311,3262|1:332
2247|>|1:562|1:1021
2248|>|1:562|1:1022
2249|=|1:563|2:3099,73
2250|=|1:563|1:835
2251|=|1:564|1:3486
2252|=|1:564|1:3486
2253|=|1:714|1:564
2254|=|2:2229,28|2:565,30
2255|=|2:2330,28|2:565,30
2256|=|1:922|1:565
2257|=|1:4070|1:344
2258|=|1:3040|1:2523
2259|>|2:569,2|1:3170
2260|=|2:570,2|1:621
2261|=|2:570,3|2:2930,4
2262|=|1:2376|1:570
2263|=|2:43,1055|1:1135
2264|>|1:4111|1:572
2265|>|1:572|1:1785
2266|>|1:4111|1:572
2267|>|1:4789|1:1075
2268|=|1:4789|1:4762
2269|>|1:573|1:2702
2270|>|2:12698,10|2:573,12694
2271|=|1:573|1:4415
2272|=|1:574|1:1025
2273|>|1:575|1:3365
2274|=|1:575|1:3495
2275|=|1:575|1:3065
2276|>|1:2553|1:575
2277|=|1:575|1:1646
2278|>|1:575|1:4147
2279|>|1:575|1:4306
2280|>|1:2787|1:576
2281|>|1:2530|1:576
2282|>|1:1249|1:576
2283|>|1:2900|2:1163,576
2284|>|1:4572|2:579,20
2285|>|1:580|1:850
2286|>|1:580|1:851
2287|>|1:580|1:851
2288|>|1:580|1:850
2289|=|1:3217|2:581,433
2290|>|1:582|1:4392
2291|=|1:582|1:629
2292|>|1:583|1:595
2293|>|1:584|2:158,1571
2294|=|1:584|2:1744,158
2295|>|1:584|1:3105
2296|>|1:584|1:2866
2297|=|1:183|1:2044
2298|=|2:584,347|2:1571,1626
2299|=|2:552,584|2:397,10
2300|>|1:2914|1:585
2301|=|1:2914|1:585
2302|>|1:585|1:1026
2303|>|2:585,10|1:3948
2304|>|1:586|1:4153
2305|>|1:586|1:698
2306|>|1:586|1:4155
2307|=|1:587|1:3955
2308|>|1:368|1:587
2309|>|2:588,2|1:3258
2310|=|2:588,9|1:3258
2311|=|2:588,15|1:1035
2312|=|1:2915|1:2900
2313|=|2:29,590|2:1547,15
2314|=|1:591|1:983
2315|=|1:983|1:591
2316|=|1:4446|1:591
2317|=|1:592|1:785
2318|=|1:592|1:4647
2319|=|2:29,593|2:3380,15
2320|=|2:43,593|1:3555
2321|>|2:130,593|1:3261
2322|>|1:594|2:1478,9
2323|>|1:632|1:594
2324|=|2:115,22|1:3287
2325|=|1:2730|2:76,115
2326|>|1:183|1:4066
2327|=|2:183,598|3:1937,1623,603
2328|>|1:269|1:3907
2329|=|2:598,354|2:940,603
2330|>|2:962,9|2:31,599
2331|=|1:599|1:1037
2332|=|1:600|1:99
2333|>|1:601|1:2578
2334|>|1:601|1:3955
2335|>|1:3955|1:601
2336|=|1:3354|1:602
2337|>|1:3373|1:602
2338|=|1:602|1:615
2339|>|1:1037|1:1091
2340|>|1:29|2:623,15
2341|>|1:31|1:604
2342|=|1:604|1:1037
2343|=|1:604|1:3955
2344|=|2:605,97|1:3463
2345|>|1:605|1:2827
2346|>|1:605|2:95,1565
2347|=|1:606|1:3242
2348|>|1:3443|1:606
2349|>|1:3240|1:606
2350|>|1:3242|1:606
2351|>|1:4069|1:256
2352|=|1:608|1:609
2353|=|1:1508|1:609
2354|=|1:611|2:1860,9
2355|=|1:732|1:614
2356|=|1:614|2:22,1015
2357|=|1:2987|1:615
2358|>|1:2646|1:616
2359|>|1:1571|1:616
2360|=|1:1744|1:3057
2361|=|2:552,616|2:392,10
2362|>|1:617|1:2022
2363|>|1:3415|1:617
2364|>|2:1787,10|1:618
2365|=|1:618|1:1070
2366|=|2:1120,3|2:620,4
2367|=|1:1120|1:620
2368|=|2:169,1066|2:620,224
2369|=|1:1060|2:621,72
2370|=|1:621|1:3173
2371|=|3:4429,26,10|3:9685,25,24
2372|>|1:9685|1:3267
2373|>|1:622|1:2521
2374|>|1:622|1:2613
2375|>|1:623|2:962,9
2376|>|1:962|1:623
2377|>|2:624,62|1:1071
2378|=|1:624|1:3282
2379|>|2:213,1069|1:625
2380|>|1:625|1:4334
2381|>|1:625|1:3711
2382|=|2:43,627|2:3720,15
2383|=|2:43,627|2:3721,15
2384|=|2:52,627|2:3695,15
2385|=|2:628,3|2:3537,4
2386|=|1:628|1:1139
2387|>|2:628,10|1:1502
2388|>|1:3801|2:240,628
2389|=|1:628|1:9423
2390|>|1:629|1:4391
2391|=|1:629|1:3627
2392|>|1:629|1:4389
2393|=|3:630,3964,78|1:3965
2394|<|1:630|1:794
2395|>|1:3356|1:632
2396|=|1:210|1:174
2397|=|1:1159|1:634
2398|=|1:637|1:1973
2399|=|1:637|1:1356
2400|=|1:639|1:1197
2401|=|1:4209|1:173
2402|=|1:2527|1:641
2403|>|1:1062|2:641,224
2404|=|1:644|1:2541
2405|=|1:644|1:3058
2406|>|1:2988|1:326
2407|=|1:645|1:660
2408|=|2:646,3|2:1191,4
2409|=|1:646|1:1191
2410|>|1:648|1:916
2411|=|1:651|1:12327
2412|=|2:1193,4|2:651,3
2413|>|1:51|1:124
2414|>|1:684|1:404
2415|=|1:1843|1:654
2416|=|1:2125|2:654,1
2417|=|1:2805|2:654,1
2418|=|1:654|1:4209
2419|=|2:655,4|2:2621,3
2420|=|1:1533|1:655
2421|<|1:656|1:699
2422|>|1:658|1:4434
2423|>|1:659|1:683
2424|>|1:659|1:683
2425|=|2:24,659|2:2248,10
2426|>|1:659|1:4061
2427|=|1:659|1:2249
2428|>|1:4059|1:659
2429|>|1:659|1:4042
2430|>|1:4058|1:659
2431|=|2:173,660|2:2030,271
2432|=|2:661,3|2:13523,4
2433|=|1:662|1:2350
2434|=|2:79,662|2:102,2350
2435|=|2:128,662|2:202,2350
2436|=|1:663|1:2563
2437|>|1:663|1:3830
2438|=|1:2045|2:664,9
2439|>|1:664|1:1448
2440|>|1:665|1:724
2441|=|1:724|1:665
2442|=|2:13190,156|1:4504
2443|>|1:667|1:1244
2444|>|1:1953|1:667
2445|>|2:12866,1|1:939
2446|>|2:4560,248|2:668,11
2447|=|1:670|1:2173
2448|>|1:355|2:2147,3287
2449|>|2:4258,11563|1:671
2450|=|1:708|1:973
2451|=|1:973|2:708,9
2452|=|2:79,708|2:102,973
2453|=|2:128,708|2:202,973
2454|>|2:299,1007|2:672,166
2455|>|1:2681|2:673,13
2456|=|3:673,30,7|2:938,28
2457|>|2:673,7|1:938
2458|>|2:673,1|1:4484
2459|=|1:673|1:4485
2460|>|1:4648|1:676
2461|=|2:677,3|2:1302,4
2462|=|3:1200,320,7|2:677,407
2463|>|1:2618|1:678
2464|=|1:679|1:1312
2465|=|1:680|1:912
2466|=|1:912|1:680
2467|>|1:681|2:181,681
2468|>|1:681|1:217
2469|=|2:681,9|2:681,101
2470|>|1:29|2:681,15
2471|>|1:370|2:681,35
2472|=|1:2785|1:683
2473|>|1:683|1:4040
2474|>|1:684|1:2763
2475|>|1:684|1:4374
2476|=|2:1263,3|2:685,4
2477|>|1:471|1:6945
2478|=|1:687|1:7166
2479|=|2:387,732|2:2278,10
2480|=|1:693|2:1462,1795
2481|>|1:695|1:8894
2482|=|1:696|1:1986
2483|>|1:1742|1:696
2484|>|1:696|1:4353
2485|=|1:697|1:3096
2486|=|1:697|1:1038
2487|>|1:698|1:4141
2488|>|1:698|1:4154
2489|>|1:698|1:4588
2490|>|1:698|1:872
2491|>|1:698|1:4166
2492|>|1:700|1:2855
2493|=|1:8338|1:701
2494|=|1:1640|1:3464
2495|>|2:80,2|1:2259
2496|>|1:703|2:4103,214
2497|>|1:703|1:4113
2498|=|2:949,61|1:704
2499|>|1:705|1:2065
2500|>|1:706|1:2918
2501|=|1:706|1:2918
2502|>|1:242|1:708
2503|=|1:3986|2:708,121
2504|=|1:709|1:974
2505|>|1:1422|1:709
2506|=|2:25,711|1:933
2507|=|1:933|2:25,711
2508|>|1:4872|1:728
2509|>|1:4872|1:6972
2510|=|1:926|1:714
2511|=|2:990,1860|2:715,612
2512|>|1:550|1:716
2513|>|1:550|1:716
2514|>|2:716,9|1:165
2515|=|1:1535|2:717,14
2516|>|1:4408|1:718
2517|>|1:4581|1:719
2518|=|1:1212|2:719,33
2519|=|2:720,230|2:4470,13
2520|=|2:1480,3|2:722,4
2521|=|2:1481,3|2:723,4
2522|=|1:724|1:2412
2523|>|1:4425|1:724
2524|=|1:1484|1:724
2525|=|2:725,1057|2:1057,13521
2526|=|2:29,725|2:3367,15
2527|>|1:725|1:4138
2528|=|1:2192|3:726,22,14
2529|>|1:728|1:2136
2530|=|2:24,729|2:33,901
2531|=|1:2131|1:732
2532|=|1:733|1:2132
2533|=|1:3348|1:735
2534|=|1:735|1:2654
2535|>|1:736|1:4124
2536|=|1:741|1:800
2537|>|1:742|1:4295
2538|=|2:742,270|1:4295
2539|>|2:743,7|1:3303
2540|=|2:1872,3|2:744,4
2541|=|2:22,780|2:41,744
2542|>|2:745,2|1:1004
2543|>|1:3130|1:745
2544|>|1:745|2:774,1408
2545|=|1:747|1:1905
2546|=|1:2342|1:747
2547|>|2:748,2|1:993
2548|>|1:2326|1:748
2549|=|1:748|1:302
2550|=|2:750,2|1:2388
2551|=|1:752|1:1552
2552|=|1:753|1:4428
2553|=|1:753|1:1732
2554|>|1:6187|1:755
2555|>|2:1303,10|1:756
2556|>|1:756|1:2885
2557|>|1:1825|1:757
2558|>|1:1825|1:757
2559|>|2:757,89|1:1833
2560|>|1:2783|1:757
2561|>|1:865|1:758
2562|>|1:758|1:4458
2563|>|1:2452|1:759
2564|>|1:759|1:3594
2565|=|2:761,12323|2:12323,761
2566|=|1:762|2:1057,280
2567|=|2:762,732|2:280,2424
2568|>|1:2250|1:763
2569|=|2:765,22|2:1043,41
2570|=|1:766|1:2465
2571|>|1:767|1:1047
2572|=|1:1047|1:767
2573|>|1:768|1:1316
2574|>|1:769|1:2778
2575|>|1:1684|1:769
2576|>|1:770|1:1603
2577|>|1:976|2:770,9
2578|>|1:771|1:1001
2579|=|2:11,772|1:892
2580|=|1:2739|2:773,13
2581|=|2:24,773|2:2872,10
2582|>|2:774,2|1:2719
2583|=|2:776,19|2:166,3437
2584|=|1:776|1:2204
2585|=|2:2410,3|2:777,4
2586|=|2:2413,3|2:777,4
2587|>|1:778|1:1836
2588|>|1:2638|2:778,9
2589|>|1:783|1:960
2590|=|1:784|1:1014
2591|=|1:2762|1:784
2592|>|1:1959|1:784
2593|>|1:3872|1:784
2594|=|1:784|1:1903
2595|=|1:785|1:2953
2596|>|1:787|1:1073
2597|=|1:2651|1:787
2598|=|1:1004|1:789
2599|=|1:1004|1:789
2600|>|1:792|1:3200
2601|>|2:41,2|1:793
2602|=|2:793,324|2:1373,3341
2603|>|2:795,48|2:1751,10
2604|=|1:380|1:380
2605|=|2:798,3|2:797,4
2606|=|1:797|1:798
2607|=|1:4171|1:800
2608|=|1:1907|1:800
2609|=|1:1742|1:805
2610|>|1:2697|1:805
2611|=|2:806,66|2:3803,22
2612|>|1:806|1:3100
2613|=|1:806|1:3204
2614|=|2:1606,26|2:807,25
2615|=|1:808|1:1950
2616|=|1:811|1:3786
2617|=|2:24,812|2:2745,10
2618|>|1:813|1:1783
2619|>|1:3961|1:813
2620|>|2:813,51|1:1784
2621|=|1:2028|2:814,9
2622|>|1:818|1:2466
2623|>|1:818|1:3589
2624|>|1:2466|1:818
2625|=|2:24,820|2:2796,10
2626|>|2:523,1146|1:823
2627|>|2:523,3660|2:823,13
2628|>|1:824|1:2832
2629|>|1:1879|1:824
2630|>|1:239|1:86
2631|=|2:1458,19|2:166,828
2632|=|1:828|1:1612
2633|>|2:1039,112|1:833
2634|=|2:3262,9274|2:561,834
2635|>|2:3015,73|1:835
2636|>|1:835|2:1999,15
2637|=|1:835|2:4427,15
2638|=|2:2307,3|2:837,4
2639|=|1:4546|2:22,837
2640|=|3:837,51,3|2:2694,4
2641|>|1:3576|2:844,9
2642|=|1:844|1:2111
2643|>|1:848|1:3033
2644|>|1:3913|1:848
2645|>|1:848|1:3919
2646|>|1:848|1:3814
2647|>|1:848|1:3919
2648|>|1:848|1:4067
2649|>|1:850|1:4308
2650|>|2:2328,1|1:850
2651|=|2:29,850|2:3214,15
2652|=|2:850,47|1:3225
2653|>|1:2149|1:850
2654|>|1:850|1:4309
2655|>|2:852,2|1:4093
2656|>|1:3128|1:852
2657|>|1:3128|1:852
2658|>|1:853|1:4299
2659|>|2:92,853|2:303,22
2660|=|2:1163,853|2:1472,22
2661|=|1:854|2:3443,158
2662|>|1:3443|1:854
2663|>|2:2696,291|1:854
2664|>|1:857|1:2861
2665|>|1:2858|1:857
2666|>|1:860|1:1482
2667|>|1:861|1:261
2668|=|2:861,9|2:861,101
2669|>|1:29|2:861,15
2670|>|1:864|1:1987
2671|=|2:911,26|2:866,25
2672|=|2:911,48|2:866,37
2673|>|1:867|1:1608
2674|>|1:868|1:2829
2675|>|1:868|1:1359
2676|>|1:868|1:4343
2677|>|1:869|1:1015
2678|=|1:2701|1:869
2679|>|1:870|2:1483,35
2680|>|1:872|1:1343
2681|=|2:873,104|2:2781,33
2682|>|2:873,303|1:4300
2683|>|2:348,873|2:1282,33
2684|=|2:873,444|2:1027,33
2685|=|1:874|1:1031
2686|=|2:874,122|2:1031,123
2687|=|1:875|2:2880,201
2688|=|1:875|1:2060
2689|>|2:878,7|1:4170
2690|>|1:1045|2:193,879
2691|=|1:880|1:1903
2692|=|1:882|1:1304
2693|=|2:422,882|1:1344
2694|>|1:22|1:33
2695|>|1:56|2:11,78
2696|=|2:887,70|2:927,890
2697|=|2:1887,662|2:1036,14
2698|=|2:197,882|2:13,1345
2699|=|2:894,2|1:2991
2700|=|1:2991|2:894,9
2701|=|2:2095,24|1:901
2702|=|2:2095,89|1:901
2703|=|1:902|1:998
2704|=|2:902,28|2:998,30
2705|=|2:903,10|1:4171
2706|>|1:909|1:2361
2707|=|1:2000|2:67,909
2708|=|1:909|1:1443
2709|>|1:910|1:3237
2710|>|1:914|1:936
2711|>|1:914|1:4246
2712|>|1:51|1:124
2713|>|1:917|1:3045
2714|=|2:921,3255|2:2628,3482
2715|=|2:607,10|2:12701,4
2716|>|1:12701|1:2628
2717|=|2:921,28|2:2628,30
2718|>|2:12700,10|2:12694,12701
2719|=|1:12701|1:4415
2720|=|2:2960,3|2:922,4
2721|>|1:2118|1:923
2722|>|1:2918|1:2118
2723|>|1:2438|1:923
2724|>|1:924|1:943
2725|>|1:925|1:1588
2726|=|1:926|1:2131
2727|>|1:926|1:2590
2728|=|1:927|1:4003
2729|=|1:927|1:4003
2730|=|1:2065|1:929
2731|>|1:2666|1:930
2732|>|1:2714|1:99
2733|=|2:29,934|2:2937,15
2734|>|1:3525|1:935
2735|>|1:3525|1:935
2736|>|1:935|1:1069
2737|>|1:936|1:1990
2738|=|1:936|1:1994
2739|>|1:936|1:2576
2740|=|1:937|1:965
2741|>|1:938|1:1446
2742|>|1:938|1:1583
2743|=|1:938|1:4486
2744|>|1:939|1:1143
2745|=|1:940|1:1644
2746|=|1:941|2:1342,56
2747|=|2:2023,30|2:941,28
2748|=|2:942,26|2:1097,25
2749|>|1:942|1:1525
2750|>|2:2123,10|1:945
2751|>|1:945|2:969,10
2752|=|1:947|1:1756
2753|=|2:2554,28|2:947,30
2754|>|1:2881|1:950
2755|>|1:950|1:1775
2756|=|2:951,56|1:952
2757|=|1:2928|2:955,57
2758|>|2:957,95|1:1876
2759|=|2:958,26|2:3359,42
2760|=|2:958,26|2:3360,42
2761|>|1:2576|1:959
2762|>|1:959|1:1800
2763|>|2:3311,3624|1:961
2764|=|1:963|1:995
2765|=|2:2529,26|2:160,964
2766|=|2:967,3|2:1645,4
2767|=|1:967|1:1645
2768|=|1:967|1:2417
2769|=|1:3307|1:968
2770|>|1:968|1:1367
2771|>|1:969|1:925
2772|>|1:93|1:971
2773|=|1:973|1:2292
2774|=|1:974|1:2925
2775|=|1:974|1:2925
2776|=|1:974|1:2925
2777|=|1:974|1:2925
2778|>|1:987|1:974
2779|>|1:1443|1:975
2780|=|1:976|1:1116
2781|=|1:977|1:2592
2782|>|1:981|1:1013
2783|=|1:982|1:2695
2784|>|1:1226|1:982
2785|=|2:1347,26|2:984,25
2786|>|1:2763|1:984
2787|=|2:984,84|1:2918
2788|>|1:1101|1:985
2789|>|1:985|1:4148
2790|>|1:986|1:3413
2791|=|1:2968|2:67,987
2792|>|1:3985|1:987
2793|=|2:989,28|2:4754,30
2794|=|1:990|1:3285
2795|=|1:3226|1:990
2796|>|2:991,95|1:1876
2797|>|1:996|1:2008
2798|>|1:1766|1:997
2799|>|1:997|1:1492
2800|>|1:999|1:2703
2801|>|1:999|1:2547
2802|=|2:2439,26|2:1000,25
2803|=|2:29,1268|2:3039,15
2804|=|2:186,12294|2:3121,15
2805|>|1:3330|1:1004
2806|>|2:3803,12693|2:66,12969
2807|=|2:1007,878|2:166,2649
2808|=|2:1009,2|1:1100
2809|=|1:1100|2:1009,9
2810|=|2:1011,2|1:3176
2811|>|1:1012|1:1048
2812|=|1:1014|1:2762
2813|=|2:22,1015|1:3023
2814|=|1:1016|1:4503
2815|=|1:1016|1:2897
2816|=|1:1016|1:2565
2817|>|1:1017|1:1044
2818|>|1:1108|2:1017,37
2819|>|1:97|1:1111
2820|>|1:1111|1:97
2821|>|1:1021|1:3008
2822|>|1:1564|1:1023
2823|>|1:3276|1:1023
2824|>|1:1564|1:1023
2825|>|1:3276|1:1023
2826|>|1:1023|1:3276
2827|=|1:1023|1:2688
2828|=|2:29,1226|2:1024,15
2829|=|1:1025|1:4571
2830|>|1:4117|1:1026
2831|=|1:3102|1:1026
2832|=|1:3102|1:1026
2833|=|1:1026|1:3536
2834|>|1:1026|1:4108
2835|>|1:2437|1:1026
2836|>|1:1028|1:1126
2837|=|1:3470|1:1028
2838|>|1:1051|1:1029
2839|>|1:1029|1:4019
2840|>|1:2589|2:1030,9
2841|=|1:1030|1:3017
2842|>|2:1708,2|1:1033
2843|>|2:12693,3978|2:12968,66
2844|>|1:1035|1:4606
2845|=|2:44,1036|2:13,1330
2846|=|1:1036|1:2893
2847|=|1:1037|1:3955
2848|=|1:1365|1:1038
2849|>|1:1039|1:2291
2850|>|1:1040|1:3444
2851|>|1:1040|1:4058
2852|=|1:3811|1:1040
2853|>|1:1040|1:4061
2854|>|1:3116|1:1041
2855|=|1:1081|2:113,1041
2856|>|1:1055|1:1041
2857|=|1:3291|1:1041
2858|=|1:3242|1:3240
2859|=|1:2848|1:1042
2860|=|2:3053,3|2:1042,4
2861|=|1:2848|1:1042
2862|=|1:3053|1:1042
2863|>|1:1042|1:2914
2864|=|1:1042|1:3958
2865|=|2:2262,7|1:1046
2866|=|1:1046|2:1882,65
2867|>|1:1047|2:4314,9
2868|>|2:4314,2|1:1047
2869|>|2:2883,116|1:1047
2870|=|1:1048|1:2834
2871|>|1:3413|2:1049,9
2872|>|2:1049,61|1:3162
2873|=|1:3106|2:1050,10
2874|>|1:2966|1:1051
2875|>|1:1052|1:1137
2876|>|1:1137|1:1052
2877|=|2:1053,1799|2:108,1952
2878|=|1:3098|1:1054
2879|=|1:3238|2:2914,14
2880|=|1:3467|2:2914,214
2881|>|1:1055|1:2948
2882|>|1:1055|1:1125
2883|>|1:1055|1:3468
2884|=|1:1055|1:3468
2885|=|1:1055|1:3291
2886|>|1:1057|1:3337
2887|>|1:1057|1:1267
2888|>|1:1057|1:4596
2889|>|1:1058|1:3103
2890|>|1:3136|1:1062
2891|>|1:1063|1:3478
2892|>|1:1063|1:3490
2893|>|1:3104|1:1065
2894|>|1:1065|1:1542
2895|=|2:61,1067|2:13,2717
2896|>|1:1798|1:1068
2897|>|2:13435,44|1:2642
2898|>|1:1068|1:3421
2899|>|2:4421,10|1:1070
2900|=|1:1070|2:1787,10
2901|>|2:1071,2|1:1131
2902|>|1:1119|1:1072
2903|>|1:1119|1:1072
2904|>|1:1073|1:1134
2905|>|1:4366|1:1074
2906|=|2:892,1074|2:772,1123
2907|>|1:1076|1:3289
2908|>|1:1076|1:3289
2909|>|1:1077|1:2758
2910|>|1:1098|1:1077
2911|=|1:1078|1:1128
2912|>|1:1079|1:2355
2913|=|1:2470|1:1079
2914|>|1:1079|1:2355
2915|=|1:2470|1:1079
2916|>|1:1082|1:3640
2917|>|1:3558|1:1082
2918|>|1:3472|2:1083,57
2919|>|1:1083|1:3472
2920|>|1:1083|1:3288
2921|>|1:1083|1:3288
2922|>|1:1083|1:3812
2923|=|1:3425|1:1084
2924|=|1:1085|1:3229
2925|=|1:1085|1:3321
2926|>|1:1088|1:3529
2927|>|1:3387|1:1088
2928|>|1:4399|1:1088
2929|>|1:454|1:1355
2930|=|1:3459|2:1092,49
2931|=|1:1093|1:2675
2932|=|1:1093|1:2676
2933|>|1:1094|1:3298
2934|>|2:37,1696|2:1095,11
2935|>|1:1096|1:3117
2936|>|1:1096|1:1121
2937|>|1:1096|1:3412
2938|>|1:1121|1:1096
2939|=|2:3338,3|2:1097,4
2940|>|1:1098|1:1121
2941|>|1:1121|1:1098
2942|>|1:3531|2:584,1098
2943|>|1:3306|1:3505
2944|>|1:3306|1:3863
2945|>|1:1439|1:1101
2946|>|1:1439|1:1101
2947|=|2:1439,30|2:1101,28
2948|>|1:3170|2:1102,9
2949|=|1:1103|1:3078
2950|=|1:1104|1:1439
2951|=|1:1105|2:2610,285
2952|=|2:2610,3|2:149,1105
2953|=|1:3274|1:1106
2954|=|2:1107,2|1:1140
2955|=|1:1140|2:1107,9
2956|>|1:2931|1:1108
2957|>|1:3268|1:1112
2958|>|1:1113|2:2949,9
2959|>|1:3054|1:1113
2960|>|1:1114|1:3391
2961|>|1:3554|1:1116
2962|>|1:1117|1:3398
2963|>|1:1149|1:1117
2964|=|1:2512|1:1118
2965|>|1:3507|1:1119
2966|>|1:2041|1:1122
2967|=|1:2904|1:1122
2968|=|1:3313|1:1123
2969|=|1:1124|2:2421,22
2970|=|1:2534|1:1124
2971|=|1:2866|1:3988
2972|>|1:2866|1:3706
2973|>|1:1125|1:3531
2974|=|1:1126|1:2783
2975|>|2:1127,2|1:3473
2976|>|1:2647|1:1127
2977|=|2:1129,2|2:13,1145
2978|=|1:1145|2:1129,20
2979|=|1:1130|2:3530,4
2980|=|2:1130,4|1:3647
2981|>|1:1131|1:1141
2982|>|1:3412|1:1132
2983|=|1:3445|1:1132
2984|=|1:1135|2:3252,33
2985|=|2:52,1137|2:3611,15
2986|=|2:1137,125|2:55,3604
2987|=|2:1137,125|2:55,3614
2988|=|2:199,1137|2:4526,15
2989|=|2:1137,264|1:3604
2990|=|1:4526|1:1137
2991|>|1:1138|1:3561
2992|>|1:1595|1:1138
2993|=|1:3550|1:1139
2994|>|1:1141|2:3275,9
2995|=|2:2641,3|2:1142,4
2996|=|1:2965|1:1142
2997|>|1:3559|1:1144
2998|>|2:1146,2|1:3660
2999|>|1:3708|2:260,1146
3000|=|2:1147,3|2:3597,4
3001|=|2:4022,3|2:1147,4
3002|=|1:1148|1:2730
3003|=|1:3294|1:1148
3004|=|2:1702,30|2:4321,28
3005|>|1:4321|1:1702
3006|=|2:2220,992|2:4321,259
3007|=|2:43,3353|2:1150,15
3008|=|2:43,1150|2:3742,15
3009|=|1:1151|2:3600,9
3010|=|2:3600,2|1:1151
3011|=|1:3701|2:1152,57
3012|=|1:3702|2:1152,57
3013|=|2:307,3548|2:35,1153
3014|=|1:1154|1:3683
3015|>|1:1154|1:4393
3016|>|2:51,1161|2:1895,428
3017|=|2:2128,1|3:65,1162,631
3018|>|2:1163,95|2:2030,271
3019|>|1:29|2:1505,15
3020|>|1:1505|1:261
3021|=|1:2287|3:1170,22,14
3022|=|1:1174|2:1192,634
3023|=|1:1175|1:1176
3024|>|1:1176|1:4576
3025|=|1:30|1:28
3026|>|1:85|1:271
3027|>|1:26|1:2104
3028|>|1:4408|1:718
3029|=|2:1539,69|2:201,59
3030|>|1:1922|1:1189
3031|>|1:1924|1:1190
3032|>|2:80,1197|1:2033
3033|>|1:1342|2:1198,14
3034|=|1:14182|2:14183,13
3035|>|2:4211,1|1:1208
3036|>|2:1213,7|1:3139
3037|=|1:1217|1:4532
3038|=|1:1217|1:4532
3039|>|2:274,1221|1:1317
3040|=|2:29,1948|2:1222,15
3041|=|2:29,2453|2:1225,15
3042|=|1:1226|1:2847
3043|=|1:1226|1:3310
3044|=|2:1226,129|1:4131
3045|=|2:24,1962|2:1654,10
3046|=|1:527|1:527
3047|>|1:1281|1:1229
3048|>|1:1229|1:1544
3049|>|1:4474|1:1229
3050|=|1:1354|2:1237,78
3051|=|2:29,1897|2:1238,15
3052|>|2:1242,7|1:3500
3053|>|2:1242,7|1:1301
3054|>|2:1242,7|1:1248
3055|<|1:1256|2:656,1243
3056|=|2:1243,656|1:1691
3057|>|1:1246|1:3091
3058|>|1:1248|1:2317
3059|=|1:2124|1:1248
3060|=|1:1249|1:5017
3061|=|1:1250|2:882,20
3062|>|1:1254|1:1251
3063|=|1:1657|1:1252
3064|=|2:29,1253|2:3595,15
3065|>|1:1254|1:3509
3066|=|2:1259,30|2:1260,28
3067|>|1:1261|1:2348
3068|=|2:1321,3|2:1262,4
3069|=|1:2064|2:1267,37
3070|>|1:1267|1:1469
3071|>|1:1272|1:1271
3072|=|2:1433,3|2:1275,4
3073|=|1:1433|1:1275
3074|=|2:1277,3|2:2845,4
3075|=|1:1277|1:2845
3076|=|1:1280|1:2370
3077|>|1:1283|1:3286
3078|>|1:1283|1:3042
3079|>|1:1283|1:2737
3080|>|1:4140|1:1283
3081|>|1:1284|1:1455
3082|>|1:1284|1:1455
3083|=|1:1290|1:3394
3084|>|1:1469|1:1291
3085|>|1:1292|1:3834
3086|<|2:1292,1|2:4186,78
3087|=|3:1292,28,1|3:4186,30,78
3088|>|1:4188|2:1292,41
3089|=|3:1292,136,1|3:4186,135,78
3090|=|2:873,1292|2:4188,33
3091|=|1:1293|1:4186
3092|=|1:1293|1:4197
3093|>|1:1296|1:1899
3094|>|1:1899|1:1296
3095|=|2:1299,2|1:2070
3096|>|1:1301|1:2317
3097|=|2:1306,13416|2:3070,2830
3098|>|1:1315|1:1404
3099|>|1:4019|1:1315
3100|=|1:2573|2:1318,514
3101|=|1:1325|1:2283
3102|>|1:1327|1:3329
3103|=|1:1329|1:2223
3104|=|1:3988|2:1331,113
3105|>|1:2145|1:191
3106|=|1:3611|2:121,1137
3107|=|1:2171|2:1332,214
3108|=|2:24,1335|2:2062,10
3109|=|1:2057|1:1336
3110|=|1:1338|1:2316
3111|=|1:13411|1:1339
3112|>|1:2126|1:1340
3113|>|1:1341|1:3593
3114|>|1:1341|1:3113
3115|>|1:1343|1:4149
3116|>|1:1343|1:4150
3117|>|1:1349|1:3641
3118|=|2:1350,10|2:13,1703
3119|=|1:1352|1:2178
3120|=|1:2277|1:1353
3121|>|1:1355|2:121,454
3122|>|1:1355|1:3991
3123|>|1:1359|1:4346
3124|=|2:1359,4|2:2419,3
3125|=|1:1359|1:2419
3126|>|1:1359|1:2305
3127|>|1:4140|1:1359
3128|=|1:3562|1:1360
3129|=|2:1366,518|1:1558
3130|=|2:1368,4|2:4322,3
3131|=|2:1368,992|2:13405,259
3132|>|2:60,2|1:1782
3133|>|2:49,2|1:4509
3134|>|2:148,2|1:2661
3135|>|2:95,2|1:2475
3136|>|2:25,2|1:4508
3137|>|2:62,2|1:1869
3138|>|2:37,2|1:1960
3139|>|2:132,2|1:2364
3140|>|2:383,2|1:2477
3141|>|2:120,2|1:1692
3142|>|2:47,2|1:1605
3143|>|2:71,2|1:1970
3144|>|2:77,2|1:2734
3145|>|2:144,2|1:2153
